#s done,actual,10%,90%,trend,overlap 0?,color
"[ ,1,1]",CNAT intercept,-1.7084234,-0.5963495,,N,
"[ ,1,2]",CNAT prop exo,-0.660136,0.2276342,,Y,
"[ ,1,3]",CNAT  gastro,0.7465252,8.5192302,,N,
"[ ,1,4]",CNAT  symb vac,-0.7977873,0.4646156,,Y,
"[ ,1,5]",CNAT  avg symb,-0.04175452,0.90192076,,Y,
"[ ,1,6]",CNAT  degr symb,-1.329691779,-0.008742977,,N,
"[ ,2,1]",OFAV intercept,-1.6926697,-0.5712642,,N,
"[ ,2,2]",OFAV  prop exo,-0.6127181,0.2478412,,Y,
"[ ,2,3]",OFAV   gastro,0.9615437,8.5812432,,N,
"[ ,2,4]",OFAV   symb vac,-0.1661972,0.9851928,,Y,
"[ ,2,5]",OFAV avg symb,-0.06786578,1.0470543,,Y,
"[ ,2,6]",OFAV   degr symb,-1.235006,-0.310287,,N,
"[ ,3,1]",OFRA intercept,-1.7575717,-0.5542301,,N,
"[ ,3,2]",OFRA prop exo,-0.5068212,0.6714075,,Y,
"[ ,3,3]",OFRA  gastro,0.6957314,8.5801359,,N,
"[ ,3,4]",OFRA symb vac,-0.9687525,0.5956296,,Y,
"[ ,3,5]",OFRA avg symb,-0.4071813,0.8933138,,Y,
"[ ,3,6]",OFRA degr symb,-0.5915625,0.8988995,,Y,
"[ ,4,1]",PAST intercept,-1.8795087,-0.4088144,,N,
"[ ,4,2]",PAST prop exo,-0.8064369,0.6158382,,Y,
"[ ,4,3]",PAST  gastro,0.4618627,8.59158,,N,
"[ ,4,4]",PAST symb vac,-1.4850819,-0.1296295,,N,
"[ ,4,5]",PAST avg symb,-0.2220172,1.038935,,Y,
"[ ,4,6]",PAST degr symb,-0.5293946,1.0886478,,Y,
"[ ,5,1]",PSTR intercept,-1.552809,-0.6348785,,N,
"[ ,5,2]",PSTR  prop exo,-0.5026395,0.1791737,,Y,
"[ ,5,3]",PSTR gastro,0.8463812,8.5253925,,N,
"[ ,5,4]",PSTR  symb vac,-0.1896765,0.5297781,,Y,
"[ ,5,5]",PSTR  avg symb,-0.3534077,0.4233205,,Y,
"[ ,5,6]",PSTR  degr symb,-0.9500723,-0.167494,,N,
