#s done,species,parameter,mean,10.00%,90.0%,trend,overlap 0?,color
"[ ,1,1]",CNAT,intercept,-1.444,-2.298115,-0.7222389,,N,
"[ ,1,2]",CNAT,prop_exo,-0.225,-0.6828267,0.2240003,,Y,
"[ ,1,3]",CNAT,gastro,10.216,2.561075,20.901738,,N,
"[ ,1,4]",CNAT,symb_vac,-0.163,-0.799226,0.4627294,,Y,
"[ ,1,5]",CNAT,avg_symb,0.475,0.0208256,0.9345851,,N,
"[ ,1,6]",CNAT,degr_symb,-0.564,-1.24553022,0.06108211,,Y,
"[ ,2,1]",OFAV,intercept,-1.458,-2.2978282,-0.7080635,,N,
"[ ,2,2]",OFAV,prop_exo,-0.173,-0.6223581,0.2566863,,Y,
"[ ,2,3]",OFAV,gastro,10.227,2.328412,20.839842,,N,
"[ ,2,4]",OFAV,symb_vac,0.413,-0.1414157,1.0109311,,Y,
"[ ,2,5]",OFAV,avg_symb,0.538,0.01510444,1.07852183,,N,
"[ ,2,6]",OFAV,degr_symb,-0.688,-1.1205369,-0.2673402,,N,
"[ ,3,1]",OFRA,intercept,-0.993,-1.7907944,-0.3278153,,N,
"[ ,3,2]",OFRA,prop_exo,-0.01,-0.3613268,0.342656,,Y,
"[ ,3,3]",OFRA,gastro,10.2,2.381299,21.0687,,N,
"[ ,3,4]",OFRA,symb_vac,-0.113,-0.5405536,0.3139757,,Y,
"[ ,3,5]",OFRA,avg_symb,0.694,0.2867127,1.1174054,,N,
"[ ,3,6]",OFRA,degr_symb,0.423,-0.145711,1.072786,,Y,
"[ ,4,1]",PAST,intercept,-1.313,-2.2972805,-0.3995659,,N,
"[ ,4,2]",PAST,prop_exo,-0.114,-0.7917165,0.5773838,,Y,
"[ ,4,3]",PAST,gastro,10.135,2.402693,21.120748,,N,
"[ ,4,4]",PAST,symb_vac,-0.827,-1.5354476,-0.1878472,,N,
"[ ,4,5]",PAST,avg_symb,0.479,-0.1454384,1.1207325,,Y,
"[ ,4,6]",PAST,degr_symb,0.396,-0.3880378,1.258517,,Y,
"[ ,5,1]",PSTR,intercept,-1.454,-2.2410761,-0.8046712,,N,
"[ ,5,2]",PSTR,prop_exo,-0.162,-0.5157963,0.1839889,,Y,
"[ ,5,3]",PSTR,gastro,10.192,2.46795,20.77534,,N,
"[ ,5,4]",PSTR,symb_vac,0.153,-0.1927219,0.4964701,,Y,
"[ ,5,5]",PSTR,avg_symb,0.076,-0.2974202,0.4452806,,Y,
"[ ,5,6]",PSTR,degr_symb,-0.486,-0.8705591,-0.1391198,,N,
