#s done,actual,2.50%,97.5%,trend,overlap 0?,color
"[ ,1,1]",OFRA intercept,-10.447,-1.204,,N,
"[ ,1,2]",OFRA prop exo,-0.767,5.587,,Y,
"[ ,1,3]",OFRA gastro,-16.394,-0.031,,N,
"[ ,1,4]",OFRA symb vac,-2.838,5.685,,Y,
"[ ,1,5]",OFRA avg symb,-10.545,0.437,,Y,
"[ ,1,6]",OFRA degr symb,-1.348,18.064,,Y,
"[ ,2,1]",PAST intercept,-13.506,1.123,,Y,
"[ ,2,2]",PAST prop exo,-0.062,9.29,,Y,
"[ ,2,3]",PAST gastro,-17.88,6.945,,Y,
"[ ,2,4]",PAST symb vac,-16.542,-0.793,,N,
"[ ,2,5]",PAST avg symb,-1.559,3.02,,Y,
"[ ,2,6]",PAST degr symb,-9.872,17.195,,Y,
