#s done,species,parameter,mean,2.50%,97.5%,trend,overlap 0?,color
"[ ,1,1]",CNAT,intercept,-0.699,-1.539,0.113,,Y,
"[ ,1,2]",CNAT,prop_exo,-0.151,-0.9,0.542,,Y,
"[ ,1,3]",CNAT,gastro,0.374,-1.492,2.644,,Y,
"[ ,1,4]",CNAT,symb_vac,-0.282,-1.401,0.781,,Y,
"[ ,1,5]",CNAT,avg_symb,0.458,-0.32,1.316,,Y,
"[ ,1,6]",CNAT,degr_symb,-0.891,-2.605,0.479,,Y,
"[ ,2,1]",OFAV,intercept,-0.608,-1.435,0.251,,Y,
"[ ,2,2]",OFAV,prop_exo,-0.179,-0.915,0.491,,Y,
"[ ,2,3]",OFAV,gastro,0.804,-0.268,3.025,,Y,
"[ ,2,4]",OFAV,symb_vac,0.405,-0.527,1.471,,Y,
"[ ,2,5]",OFAV,avg_symb,0.405,-0.525,1.422,,Y,
"[ ,2,6]",OFAV,degr_symb,-1.212,-2.598,-0.058,,N,
"[ ,3,1]",OFRA,intercept,-0.81,-1.536,-0.121,,N,
"[ ,3,2]",OFRA,prop_exo,0.227,-0.545,1.021,,Y,
"[ ,3,3]",OFRA,gastro,-0.406,-1.677,0.445,,Y,
"[ ,3,4]",OFRA,symb_vac,-0.482,-1.532,0.488,,Y,
"[ ,3,5]",OFRA,avg_symb,-0.25,-1.242,0.626,,Y,
"[ ,3,6]",OFRA,degr_symb,0.183,-0.62,1.46,,Y,
"[ ,4,1]",PAST,intercept,-0.596,-1.605,0.385,,Y,
"[ ,4,2]",PAST,prop_exo,0.346,-0.352,1.18,,Y,
"[ ,4,3]",PAST,gastro,-0.092,-2.685,2.07,,Y,
"[ ,4,4]",PAST,symb_vac,-1.162,-2.47,-0.208,,N,
"[ ,4,5]",PAST,avg_symb,0.481,-0.387,1.47,,Y,
"[ ,4,6]",PAST,degr_symb,0.104,-1.441,2.321,,Y,
"[ ,5,1]",PSTR,intercept,-0.655,-1.238,-0.106,,N,
"[ ,5,2]",PSTR,prop_exo,-0.117,-0.666,0.408,,Y,
"[ ,5,3]",PSTR,gastro,0.367,-1.158,2.461,,Y,
"[ ,5,4]",PSTR,symb_vac,0.166,-0.45,0.794,,Y,
"[ ,5,5]",PSTR,avg_symb,-0.01,-0.688,0.653,,Y,
"[ ,5,6]",PSTR,degr_symb,-0.868,-1.99,0.048,,Y,
