Individual,site name GK,site name NPS,sample health state,worded_health,END_health,sample_date,necrosis_C,vacuolization_C,exocytosis_C,gastro sep_C,degraded symb_C,necrosis_I,vacuolization_I,exocytosis_I,gastro sep_I,degraded symb_I,score,blown_out_gastro,amoebocytes,loss_of_eosin,loss_of_structure,fungus/sponge,Notes,Initials,date_completed,Pics_taken,measurements,DONE
MCAV3_Aug2022_DT25_J,,SCTLD 25,J,H_exposed,,Aug-22,3,3,3,3,3,2,3,1,2,2,,1,0,1,0,1,,GC,2/27/2024,GC,GC,
CNAT1_Sept2021_site25_J,,SCTLD25,J,naive,,Sep-21,3,2,2,2,1,2,2,2,2,1,,1,2,1,2,1,,GC,2/6/2024,GC,MC,
CNAT3_Sept2021_site25_J,,SCTLD25,J,naive,,Sep-21,2,2,2,3,3,2,2,2,2,2,,1,1,1,0,1,,MC,1/30/2024,MC,MC,
MCAV1_Sept2021_site25_J,,SCTLD25,J,naive,,Sep-21,3,3,3,3,3,3,2,3,2,2,,1,0,1,1,1,no symbionts until slide 6,GC,2/6/2024,GC,GC,
MCAV3_Sept2021_site25_J,,SCTLD25,J,naive,,Sep-21,3,3,1,2,2,2,3,1,3,3,,1,0,1,0,1,,GC,2/27/2024,GC,GC,
OFAV1_Sept2021_site25_J,,SCTLD25,J,naive,,Sep-21,1,2,1,2,2,1,1,1,1,2,,0,0,0,0,1,,GC,2/7/2024,GC,GC,
OFAV2_Sept2021_site25_J,,SCTLD25,J,naive,,Sep-21,3,2,1,3,3,2,1,1,1,2,,0,0,0,0,1,,GC,2/9/2024,GC,GC,
OFAV3_Sept2021_site25_J,,SCTLD25,J,naive,,Sep-21,1,2,2,2,2,1,3,1,1,2,,1,1,0,0,1,,MC,2/9/2024,MC,GC,
OFRA1_Sept2021_site25_J,,SCTLD25,J,naive,,Sep-21,3,3,2,2,2,3,3,3,2,2,,0,1,0,1,1,,UH,2/22/2024,UH,MC,
OFRA2_Sept2021_site25_J,,SCTLD25,J,naive,,Sep-21,3,2,3,3,2,2,1,2,1,2,,1,0,0,0,1,,GC,2/7/2024,GC,MC,
OFRA3_Sept2021_site25_J,,SCTLD25,J,naive,,Sep-21,3,2,1,2,2,2,1,1,1,2,,1,0,0,0,1,,GC,2/8/2024,GC,MC,
CNAT2_Sept2021_site25_J,DRTO1,SCTLD25,J,naive,J,Sep-21,3,2,2,2,2,2,1,1,2,2,,1,1,1,0,1,,MC,1/18/2024,MC,MC,
MCAV2_Sept2021_site25_J,DRTO1,SCTLD25,J,naive,J,Sep-21,2,2,1,2,1,1,1,1,1,1,,1,1,1,0,1,,GC,1/11/2024,GC,MC,
CNAT3_Aug2022_DT25_J,,SCTLD25,J,HD,,Aug-22,3,2,2,2,1,3,2,2,2,1,,1,0,1,0,1,eggs & sperm,GC,2/6/2024,GC,MC,
