individual,condition_h,species,time,photo,measurement,value
FGB_01,HH,CNAT,initial,1,gastro,1
FGB_01,HH,CNAT,initial,,prop_exo,0
FGB_01,HH,CNAT,initial,,degr_symb,1
FGB_01,HH,CNAT,initial,2,gastro,1
FGB_01,HH,CNAT,initial,,prop_exo,0.25
FGB_01,HH,CNAT,initial,,degr_symb,1
FGB_01,HH,CNAT,initial,3,gastro,1
FGB_01,HH,CNAT,initial,,prop_exo,0
FGB_01,HH,CNAT,initial,,degr_symb,1
FGB_01,HH,CNAT,initial,4,gastro,1
FGB_01,HH,CNAT,initial,,prop_exo,0.272727273
FGB_01,HH,CNAT,initial,,degr_symb,1
FGB_01,HH,CNAT,initial,5,gastro,0
FGB_01,HH,CNAT,initial,,prop_exo,0
FGB_01,HH,CNAT,initial,,degr_symb,1
FGB_01,HH,CNAT,initial,,symb_vac,0.398565059
FGB_01,HH,CNAT,initial,,symb_vac,0.573153036
FGB_01,HH,CNAT,initial,,symb_vac,0.648544766
FGB_01,HH,CNAT,initial,,symb_vac,0.399592532
FGB_01,HH,CNAT,initial,,symb_vac,0.360446954
FGB_01,HH,CNAT,initial,,symb_vac,0.542416544
FGB_01,HH,CNAT,initial,,symb_vac,0.52359533
FGB_01,HH,CNAT,initial,,symb_vac,0.534241736
FGB_01,HH,CNAT,initial,,symb_vac,0.575101536
FGB_01,HH,CNAT,initial,,symb_vac,0.444735437
FGB_01,HH,CNAT,initial,,symb_vac,0.403720474
FGB_01,HH,CNAT,initial,,symb_vac,0.448047543
FGB_01,HH,CNAT,initial,,symb_vac,0.52784911
FGB_01,HH,CNAT,initial,,symb_vac,0.546806399
FGB_01,HH,CNAT,initial,,symb_vac,0.513842519
FGB_01,HH,CNAT,initial,,min_symb,17.297
FGB_01,HH,CNAT,initial,,max_vac,93.523
FGB_01,HH,CNAT,initial,,avg_symb,29.2088
FGB_01,HH,CNAT,initial,,avg_vac,58.8212
FGB_02,HH,PSTR,initial,1,gastro,0
FGB_02,HH,PSTR,initial,,prop_exo,0
FGB_02,HH,PSTR,initial,,degr_symb,1
FGB_02,HH,PSTR,initial,2,gastro,1
FGB_02,HH,PSTR,initial,,prop_exo,0.173913043
FGB_02,HH,PSTR,initial,,degr_symb,1
FGB_02,HH,PSTR,initial,3,gastro,0
FGB_02,HH,PSTR,initial,,prop_exo,0
FGB_02,HH,PSTR,initial,,degr_symb,1
FGB_02,HH,PSTR,initial,4,gastro,0
FGB_02,HH,PSTR,initial,,prop_exo,0
FGB_02,HH,PSTR,initial,,degr_symb,1
FGB_02,HH,PSTR,initial,5,gastro,0
FGB_02,HH,PSTR,initial,,prop_exo,0
FGB_02,HH,PSTR,initial,,degr_symb,1
FGB_02,HH,PSTR,initial,,symb_vac,0.406414543
FGB_02,HH,PSTR,initial,,symb_vac,0.517048169
FGB_02,HH,PSTR,initial,,symb_vac,0.597143793
FGB_02,HH,PSTR,initial,,symb_vac,0.481700213
FGB_02,HH,PSTR,initial,,symb_vac,0.607391925
FGB_02,HH,PSTR,initial,,symb_vac,0.554720946
FGB_02,HH,PSTR,initial,,symb_vac,0.521115538
FGB_02,HH,PSTR,initial,,symb_vac,0.579985119
FGB_02,HH,PSTR,initial,,symb_vac,0.450994238
FGB_02,HH,PSTR,initial,,symb_vac,0.487517141
FGB_02,HH,PSTR,initial,,symb_vac,0.535586869
FGB_02,HH,PSTR,initial,,symb_vac,0.389831812
FGB_02,HH,PSTR,initial,,symb_vac,0.494092115
FGB_02,HH,PSTR,initial,,symb_vac,0.492139545
FGB_02,HH,PSTR,initial,,symb_vac,0.582103341
FGB_02,HH,PSTR,initial,,min_symb,15.205
FGB_02,HH,PSTR,initial,,max_vac,77.457
FGB_02,HH,PSTR,initial,,avg_symb,25.57686667
FGB_02,HH,PSTR,initial,,avg_vac,49.6308
FGB_03,HH,PSTR,initial,1,gastro,1
FGB_03,HH,PSTR,initial,,prop_exo,0.107142857
FGB_03,HH,PSTR,initial,,degr_symb,1
FGB_03,HH,PSTR,initial,2,gastro,0
FGB_03,HH,PSTR,initial,,prop_exo,0
FGB_03,HH,PSTR,initial,,degr_symb,1
FGB_03,HH,PSTR,initial,3,gastro,0
FGB_03,HH,PSTR,initial,,prop_exo,0
FGB_03,HH,PSTR,initial,,degr_symb,1
FGB_03,HH,PSTR,initial,4,gastro,0
FGB_03,HH,PSTR,initial,,prop_exo,0
FGB_03,HH,PSTR,initial,,degr_symb,1
FGB_03,HH,PSTR,initial,5,gastro,0
FGB_03,HH,PSTR,initial,,prop_exo,0
FGB_03,HH,PSTR,initial,,degr_symb,1
FGB_03,HH,PSTR,initial,,symb_vac,0.27687255
FGB_03,HH,PSTR,initial,,symb_vac,0.441291092
FGB_03,HH,PSTR,initial,,symb_vac,0.348822572
FGB_03,HH,PSTR,initial,,symb_vac,0.495296429
FGB_03,HH,PSTR,initial,,symb_vac,0.554298694
FGB_03,HH,PSTR,initial,,symb_vac,0.58613703
FGB_03,HH,PSTR,initial,,symb_vac,0.630176839
FGB_03,HH,PSTR,initial,,symb_vac,0.509959363
FGB_03,HH,PSTR,initial,,symb_vac,0.436217753
FGB_03,HH,PSTR,initial,,symb_vac,0.585748486
FGB_03,HH,PSTR,initial,,symb_vac,0.560407709
FGB_03,HH,PSTR,initial,,symb_vac,0.523440988
FGB_03,HH,PSTR,initial,,symb_vac,0.53202097
FGB_03,HH,PSTR,initial,,symb_vac,0.621387283
FGB_03,HH,PSTR,initial,,symb_vac,0.479185468
FGB_03,HH,PSTR,initial,,min_symb,9.625
FGB_03,HH,PSTR,initial,,max_vac,77.824
FGB_03,HH,PSTR,initial,,avg_symb,25.33753333
FGB_03,HH,PSTR,initial,,avg_vac,49.30906667
FGB_04,HH,CNAT,initial,1,gastro,1
FGB_04,HH,CNAT,initial,,prop_exo,0.25
FGB_04,HH,CNAT,initial,,degr_symb,1
FGB_04,HH,CNAT,initial,2,gastro,0
FGB_04,HH,CNAT,initial,,prop_exo,0
FGB_04,HH,CNAT,initial,,degr_symb,1
FGB_04,HH,CNAT,initial,3,gastro,1
FGB_04,HH,CNAT,initial,,prop_exo,0
FGB_04,HH,CNAT,initial,,degr_symb,1
FGB_04,HH,CNAT,initial,4,gastro,0
FGB_04,HH,CNAT,initial,,prop_exo,0.176470588
FGB_04,HH,CNAT,initial,,degr_symb,1
FGB_04,HH,CNAT,initial,5,gastro,0
FGB_04,HH,CNAT,initial,,prop_exo,0
FGB_04,HH,CNAT,initial,,degr_symb,1
FGB_04,HH,CNAT,initial,,symb_vac,0.48954694
FGB_04,HH,CNAT,initial,,symb_vac,0.465902335
FGB_04,HH,CNAT,initial,,symb_vac,0.469219801
FGB_04,HH,CNAT,initial,,symb_vac,0.325056385
FGB_04,HH,CNAT,initial,,symb_vac,0.53171855
FGB_04,HH,CNAT,initial,,symb_vac,0.608770253
FGB_04,HH,CNAT,initial,,symb_vac,0.446656944
FGB_04,HH,CNAT,initial,,symb_vac,0.456190898
FGB_04,HH,CNAT,initial,,symb_vac,0.493670202
FGB_04,HH,CNAT,initial,,symb_vac,0.556029443
FGB_04,HH,CNAT,initial,,symb_vac,0.507603297
FGB_04,HH,CNAT,initial,,symb_vac,0.636525892
FGB_04,HH,CNAT,initial,,symb_vac,0.594390101
FGB_04,HH,CNAT,initial,,symb_vac,0.497124288
FGB_04,HH,CNAT,initial,,symb_vac,0.564986005
FGB_04,HH,CNAT,initial,,min_symb,15.133
FGB_04,HH,CNAT,initial,,max_vac,73.547
FGB_04,HH,CNAT,initial,,avg_symb,27.66313333
FGB_04,HH,CNAT,initial,,avg_vac,54.79846667
FGB_05,HH,CNAT,initial,1,gastro,1
FGB_05,HH,CNAT,initial,,prop_exo,0.272727273
FGB_05,HH,CNAT,initial,,degr_symb,1
FGB_05,HH,CNAT,initial,2,gastro,1
FGB_05,HH,CNAT,initial,,prop_exo,0
FGB_05,HH,CNAT,initial,,degr_symb,1
FGB_05,HH,CNAT,initial,3,gastro,1
FGB_05,HH,CNAT,initial,,prop_exo,0
FGB_05,HH,CNAT,initial,,degr_symb,1
FGB_05,HH,CNAT,initial,4,gastro,1
FGB_05,HH,CNAT,initial,,prop_exo,0
FGB_05,HH,CNAT,initial,,degr_symb,1
FGB_05,HH,CNAT,initial,5,gastro,1
