Individual,species,project,location,disease,sample_date,health state,necrosis_C,vacuolization_C,exocytosis_C,gastro sep_C,degraded symb_C,necrosis_I,vacuolization_I,exocytosis_I,gastro sep_I,degraded symb_I,histo_score,score,blown_out_gastro,amoebocytes,loss_of_eosin,loss_of_structure,fungus/sponge,Notes,Initials,date_completed,Pics_taken,measurements,DONE
FGB_16,CNAT,FGB_initial,FGB,unknown,10/5/22,DD,H,L,L,H,L,H,M,L,H,L,,,Y,Y,Y,N,Y,,ALL,3/3/23,X,MC,
FGB_12,CNAT,FGB_initial,FGB,unknown,10/5/22,DD,H,M,H,H,M,H,M,H,H,L,,,Y,Y,Y,Y,Y,,ALL,3/3/23,X,MC,
FGB_06,PSTR,FGB_initial,FGB,unknown,10/5/22,DD,H,L,H,H,L,H,M,H,M,L,,,Y,N,N,Y,Y,,ALL,3/3/23,X,MC,
FGB_01,CNAT,FGB_initial,FGB,unknown,10/5/22,HH,H,M,H,H,L,H,M,H,H,L,,,Y,N,Y,Y,N,,AR,5/31/23,X,MC,
FGB_02,PSTR,FGB_initial,FGB,unknown,10/5/22,HH,L,M,M,M,M,L,M,M,M,L,,,Y,N,N,N,Y,,AR,5/31/23,X,MC,
FGB_03,PSTR,FGB_initial,FGB,unknown,10/5/22,HH,L,L,L,L,L,L,M,L,L,L,,,Y,N,Y,N,N,,AR,5/31/23,X,MC,
FGB_04,CNAT,FGB_initial,FGB,unknown,10/5/22,HH,H,H,H,M,L,H,M,H,M,L,,,Y,N,N,Y,N,,AR,5/31/23,X,MC,
FGB_05,CNAT,FGB_initial,FGB,unknown,10/5/22,HH,H,M,H,H,L,H,M,H,M,L,,,Y,N,Y,Y,Y,,AR,6/13/23,X,MC,
FGB_07,PSTR,FGB_initial,FGB,unknown,10/5/22,HD,L,L,L,L,L,L,M,L,L,L,,,Y,N,N,N,Y,,AR,6/13/23,X,MC,
FGB_08,PSTR,FGB_initial,FGB,unknown,10/5/22,DD,L,L,L,M,L,L,M,M,L,L,,,N,N,N,N,Y,,AR,6/13/23,X,MC,
FGB_09,PSTR,FGB_initial,FGB,unknown,10/5/22,HD,L,M,M,M,L,L,M,H,L,L,,,Y,N,N,N,Y,,AR,6/13/23,X,MC,
FGB_10,OFAV,FGB_initial,FGB,unknown,10/5/22,DD,H,H,H,H,M,M,M,H,M,L,,,Y,N,N,Y,Y,,AR,6/13/23,X,MC,
FGB_11,OFAV,FGB_initial,FGB,unknown,10/5/22,HD,H,H,M,L,L,M,M,M,L,L,,CLOMPS,Y,N,N,Y,Y,,AR,6/14/23,X,MC,
FGB_13,CNAT,FGB_initial,FGB,unknown,10/5/22,HD,M,M,H,H,M,M,L,H,H,M,,,Y,N,Y,Y,Y,,AR,6/14/23,X,MC,
FGB_14,OFAV,FGB_initial,FGB,unknown,10/5/22,DD,L,M,M,L,L,L,M,M,L,L,,,Y,N,N,Y,Y,,AR,6/14/23,X,MC,
FGB_15,OFAV,FGB_initial,FGB,unknown,10/5/22,HD,H,H,H,H,L,H,H,H,M,L,,,Y,N,N,Y,Y,,AR,6/14/23,X,MC,
FGB_17,CNAT,FGB_initial,FGB,unknown,10/5/22,HD,M,M,L,M,L,M,L,L,L,L,,,N,Y,Y,N,Y,,AR,6/14/23,X,MC,
FGB_18,CNAT,FGB_initial,FGB,unknown,,DD,M,L,M,M,L,L,L,M,L,L,,,N,Y,N,N,Y,,AR,6/29/23,X,MC,
FGB_19,CNAT,FGB_initial,FGB,unknown,10/5/22,HD,M,M,H,H,L,L,L,H,L,L,,,Y,N,N,Y,Y,,AR,6/14/23,X,MC,
FGB_20,PSTR,FGB_initial,FGB,unknown,10/5/22,HH,M,M,H,M,L,L,L,M,L,L,,,N,N,N,N,Y,,AR,6/14/23,X,MC,
FGB_21,OFAV,FGB_initial,FGB,unknown,10/5/22,DD,M,H,H,H,L,L,M,M,M,L,,CLOMPS,Y,N,Y,Y,Y,,AR,6/15/23,X,MC,
FGB_22,OFAV,FGB_initial,FGB,unknown,10/5/22,HD,L,H,L,H,L,L,H,L,M,L,,CLOMPS,Y,N,N,Y,Y,,AR,6/15/23,X,MC,
FGB_23,OFAV,FGB_initial,FGB,unknown,10/5/22,DD,H,H,H,H,L,M,H,H,M,L,,,Y,N,N,Y,Y,,AR,6/15/23,X,MC,
FGB_24,OFAV,FGB_initial,FGB,unknown,10/5/22,HD,H,H,M,M,L,M,M,M,L,L,,separated granules,Y,N,N,Y,Y,,AR,6/15/23,X,MC,
FGB_25,PSTR,FGB_initial,FGB,unknown,10/5/22,DD,L,L,L,M,M,L,L,L,M,L,,,N,N,N,N,N,,AR,6/15/23,X,MC,
FGB_26,PSTR,FGB_initial,FGB,unknown,10/5/22,HD,L,L,L,L,L,L,L,L,L,L,,,N,N,N,N,Y,,AR,6/15/23,X,MC,
FGB_27,PSTR,FGB_initial,FGB,unknown,10/5/22,HH,H,L,L,M,L,M,L,L,L,L,,,N,N,N,N,Y,,AR,6/15/23,X,MC,
FGB_28,OFAV,FGB_initial,FGB,unknown,10/5/22,HH,L,M,L,M,L,L,M,L,L,L,,,N,N,N,N,N,,AR,6/15/23,X,MC,
FGB_29,OFAV,FGB_initial,FGB,unknown,,DD,M,M,L,L,M,L,L,L,L,L,,separated granules,Y,N,N,Y,Y,,AR,6/16/23,X,MC,
FGB_30,OFAV,FGB_initial,FGB,unknown,,HD,H,H,L,H,M,M,H,L,M,M,,flakes,Y,N,N,Y,Y,,AR,6/16/23,X,MC,
FGB_31,PSTR,FGB_initial,FGB,unknown,,DD,L,L,L,L,L,L,L,L,L,L,,flakes,N,N,N,N,Y,,AR,6/16/23,X,MC,
FGB_32,PSTR,FGB_initial,FGB,unknown,,HD,M,M,L,L,L,M,M,L,L,L,,,Y,N,N,Y,Y,,AR,6/16/23,X,MC,
FGB_33,PSTR,FGB_initial,FGB,unknown,,DD,H,M,L,H,L,M,M,M,M,L,,flakes,Y,N,N,Y,Y,,AR,6/16/23,X,MC,
FGB_34,PSTR,FGB_initial,FGB,unknown,,HD,H,H,M,M,M,H,M,M,L,L,,,N,N,N,N,Y,,AR,6/21/23,X,MC,
FGB_35,OFAV,FGB_initial,FGB,unknown,,HH,H,H,L,M,L,H,M,L,L,L,,granules,Y,N,Y,Y,Y,,AR,6/21/23,X,MC,
FGB_36,PSTR,FGB_initial,FGB,unknown,,DD,M,L,L,L,L,L,L,L,L,L,,flakes,Y,Y,N,Y,Y,,AR,6/21/23,X,MC,
FGB_37,PSTR,FGB_initial,FGB,unknown,,HD,M,L,L,M,M,L,M,L,L,L,,flakes,Y,N,N,N,Y,,AR,6/21/23,X,MC,
FGB_38,OFAV,FGB_initial,FGB,unknown,,DD,H,M,M,M,M,M,M,L,L,L,,granules,N,Y,N,N,Y,,AR,6/21/23,X,MC,
FGB_39,OFAV,FGB_initial,FGB,unknown,,HD,H,H,H,H,M,H,H,H,M,M,,granules,Y,N,N,N,Y,,AR,6/22/23,X,MC,
FGB_40,OFAV,FGB_initial,FGB,unknown,,HH,H,H,H,H,M,M,H,M,M,M,,granules,Y,N,Y,Y,Y,,AR,6/22/23,X,MC,
FGB_41,OFAV,FGB_initial,FGB,unknown,,HH,H,M,M,M,L,M,L,L,L,L,,flakes,Y,N,N,N,Y,,AR,6/22/23,X,MC,
FGB_42,OFAV,FGB_initial,FGB,unknown,,DD,H,M,M,L,M,M,M,H,L,M,,flakes,Y,N,N,Y,Y,,AR,6/22/23,X,MC,
FGB_43,OFAV,FGB_initial,FGB,unknown,,HD,H,M,L,M,M,M,L,L,L,M,,flakes,Y,N,N,N,Y,,AR,6/22/23,X,MC,
FGB_44,CNAT,FGB_initial,FGB,unknown,,DD,H,M,M,M,M,M,L,H,L,M,,flakes,Y,Y,N,Y,Y,,AR,6/22/23,X,MC,
FGB_45,CNAT,FGB_initial,FGB,unknown,,HD,H,M,M,L,M,L,L,L,L,L,,flakes,Y,N,N,Y,Y,,AR,6/22/23,X,MC,
FGB_46,CNAT,FGB_initial,FGB,unknown,,HH,H,M,M,M,L,M,M,L,M,L,,,Y,N,N,N,Y,,AR,6/29/23,X,MC,
FGB_47,CNAT,FGB_initial,FGB,unknown,,DD,H,M,L,M,L,M,M,M,L,L,,,Y,N,N,Y,Y,,AR,6/29/23,X,MC,
FGB_48,CNAT,FGB_initial,FGB,unknown,,HD,M,H,H,H,L,L,M,M,L,M,,,N,N,N,N,Y,,AR,6/29/23,X,MC,
FGB_49,CNAT,FGB_initial,FGB,unknown,,DD,H,M,L,L,M,M,M,L,L,L,,flakes,Y,N,Y,N,Y,,AR,6/29/23,X,MC,
FGB_50,CNAT,FGB_initial,FGB,unknown,,HD,H,M,L,L,M,M,L,L,L,L,,,Y,N,N,N,Y,,AR,6/29/23,X,MC,
FGB_51,CNAT,FGB_initial,FGB,unknown,,HH,H,H,H,H,M,H,H,H,M,M,,,Y,N,Y,Y,Y,,AR,6/29/23,X,MC,
FGB_52,CNAT,FGB_initial,FGB,unknown,,HH,M,H,L,M,L,M,M,L,L,M,,,N,N,N,N,Y,,AR,6/29/23,X,MC,
FGB_53,CNAT,FGB_initial,FGB,unknown,,HH,M,M,M,L,M,L,M,L,L,M,,NON GRANULES CLUSTER,Y,N,N,N,Y,,AR,6/29/23,X,MC,
FGB_54,CNAT,FGB_initial,FGB,unknown,,HD,M,M,L,L,M,L,L,L,L,L,,,Y,N,N,N,Y,,AR,6/29/23,X,MC,
FGB_55,CNAT,FGB_initial,FGB,unknown,,DD,H,L,M,L,L,M,L,L,L,L,,,Y,Y,N,Y,Y,,AR,6/29/23,X,MC,
FGB_56,CNAT,FGB_initial,FGB,unknown,,HD,H,M,M,M,M,M,M,M,L,L,,NON GRANULES CLUSTER,Y,N,N,Y,Y,,AR,6/29/23,X,MC,
FGB_57,CNAT,FGB_initial,FGB,unknown,,DD,L,M,L,L,L,L,L,L,L,L,,,N,N,N,N,Y,,AR,6/29/23,X,MC,
FGB_58,CNAT,FGB_initial,FGB,unknown,,HD,M,M,L,L,L,L,L,L,L,M,,,Y,N,N,N,Y,,AR,6/29/23,X,MC,
FGB_59,CNAT,FGB_initial,FGB,unknown,,DD,M,M,M,M,L,L,L,M,L,L,,,Y,N,N,Y,Y,,AR,6/29/23,X,MC,
FGB_60,OFAV,FGB_initial,FGB,unknown,,HD,M,H,L,L,M,L,M,L,L,M,,granules??,Y,N,N,Y,Y,,AR,6/29/23,X,MC,
FGB_61,CNAT,FGB_initial,FGB,unknown,,HH,H,H,L,L,M,M,M,L,L,L,,,Y,N,N,Y,Y,,AR,6/29/23,X,MC,
FGB_62,CNAT,FGB_initial,FGB,unknown,,HH,H,L,M,L,L,M,L,M,L,L,,,Y,N,N,Y,Y,,AR,6/29/23,X,MC,
FGB_63,CNAT,FGB_initial,FGB,unknown,,DD,H,M,H,L,L,M,M,M,L,L,,,Y,N,N,Y,Y,,AR,6/29/23,X,MC,
FGB_64,CNAT,FGB_initial,FGB,unknown,,HD,H,M,L,L,L,M,M,L,L,L,,,N,N,N,Y,Y,,AR,6/29/23,X,MC,
FGB_65,CNAT,FGB_initial,FGB,unknown,,HH,L,M,L,L,L,L,M,L,L,L,,,N,N,N,N,Y,,AR,6/29/23,X,MC,
FGB_66,OFAV,FGB_initial,FGB,unknown,,DD,M,M,M,L,L,L,M,L,M,L,,CLOMPS,Y,N,N,Y,Y,,AR,6/29/23,X,MC,
FGB_67,PSTR,FGB_initial,FGB,unknown,,HD,H,H,L,L,L,L,M,L,L,L,,,Y,N,N,Y,Y,,AR,6/30/23,X,MC,
FGB_68,PSTR,FGB_initial,FGB,unknown,,DD,M,M,L,L,M,L,L,L,L,L,,,Y,N,N,N,Y,,AR,6/30/23,X,MC,
FGB_69,PSTR,FGB_initial,FGB,unknown,,HD,M,M,L,L,M,L,L,L,L,L,,CLOMPS,N,N,N,N,Y,,AR,6/30/23,X,MC,
FGB_70,PSTR,FGB_initial,FGB,unknown,,DD,L,L,L,L,L,L,M,L,L,L,,,N,N,N,N,Y,,AR,7/5/23,X,MC,
FGB_71,PSTR,FGB_initial,FGB,unknown,,HD,M,M,L,L,M,M,M,L,L,M,,,Y,N,N,N,Y,,AR,7/5/23,X,MC,
FGB_72,PSTR,FGB_initial,FGB,unknown,,DD,M,M,M,L,M,M,L,L,L,L,,,Y,N,N,Y,Y,,AR,7/5/23,X,MC,
FGB_73,PSTR,FGB_initial,FGB,unknown,,HD,M,M,H,L,M,L,L,H,L,M,,separated granules,Y,Y,N,Y,Y,,AR,7/5/23,X,MC,
FGB_74,PSTR,FGB_initial,FGB,unknown,,DD,M,M,M,L,M,L,M,L,L,L,,,Y,N,Y,Y,Y,,AR,7/5/23,X,MC,
FGB_75,OFAV,FGB_initial,FGB,unknown,,HD,H,H,L,H,M,L,M,L,L,H,,CLOMPS,Y,N,N,Y,Y,,AR,7/5/23,X,MC,
FGB_76,OFAV,FGB_initial,FGB,unknown,,DD,H,M,H,H,M,M,M,M,L,L,,CLOMPS,Y,N,N,Y,Y,,AR,7/5/23,X,MC,
FGB_77,OFAV,FGB_initial,FGB,unknown,,DD,H,H,H,H,M,M,M,M,M,L,,CLOMPS,Y,N,N,Y,Y,,AR,7/5/23,X,MC,
FGB_78,OFAV,FGB_initial,FGB,unknown,,HD,H,H,L,L,L,M,M,L,L,L,,CLOMPS,Y,N,N,Y,Y,,AR,7/6/23,X,MC,
FGB_79,OFAV,FGB_initial,FGB,unknown,,DD,M,H,L,L,L,L,M,L,L,L,,CLOMPS,Y,N,N,N,Y,,AR,7/6/23,X,MC,
FGB_80,OFAV,FGB_initial,FGB,unknown,,HD,M,H,M,M,M,L,M,M,M,L,,CLOMPS,Y,N,N,Y,Y,,AR,7/6/23,X,MC,
FGB_81,PSTR,FGB_initial,FGB,unknown,,DD,M,H,M,M,M,L,M,M,L,L,,CLOMPS,Y,Y,N,N,Y,,AR,7/6/23,X,MC,
FGB_82,PSTR,FGB_initial,FGB,unknown,,HH,M,M,L,L,L,L,M,L,L,L,,,Y,N,N,N,Y,,AR,7/6/23,X,MC,
FGB_83,PSTR,FGB_initial,FGB,unknown,,HH,M,M,M,L,L,L,M,L,L,L,,FLAKES,Y,N,N,N,Y,,AR,7/6/23,X,MC,
FGB_84,PSTR,FGB_initial,FGB,unknown,,HH,M,M,L,L,M,L,L,L,L,L,,,N,N,N,N,Y,,AR,7/6/23,X,MC/GC,
FGB_85,PSTR,FGB_initial,FGB,unknown,,HH,M,M,L,L,L,L,L,L,L,L,,,N,N,N,N,Y,,AR,7/6/23,X,MC/GC,
FGB_86,OFAV,FGB_initial,FGB,unknown,,HH,H,H,M,M,L,M,M,M,M,L,,CLOMPS,Y,N,N,Y,Y,,AR,7/6/23,X,MC/GC,
FGB_87,OFAV,FGB_initial,FGB,unknown,,HH,H,H,M,M,L,M,M,M,L,L,,CLOMPS,Y,N,Y,Y,Y,,AR,7/6/23,X,MC/GC,
FGB_88,OFAV,FGB_initial,FGB,unknown,,HH,H,H,M,M,L,M,M,L,M,L,,CLOMPS,Y,N,N,Y,Y,,AR,7/6/23,X,MC,
FGB_89,OFAV,FGB_initial,FGB,unknown,,HH,H,M,M,L,L,M,L,M,L,L,,CLOMPS,Y,N,N,N,Y,,AR,7/6/23,X,MC,
FGB_90,PSTR,FGB_initial,FGB,unknown,,HD,M,M,L,L,M,L,M,L,L,L,,FLAKES,Y,Y,N,N,Y,,AR,7/6/23,X,MC,
FGB_91,OFAV,FGB_initial,FGB,unknown,,HH,H,H,M,M,M,M,M,L,L,M,,CLOMPS,Y,Y,Y,Y,Y,,AR,7/6/23,X,MC,
FGB_92,OFAV,FGB_initial,FGB,unknown,,HH,M,H,M,M,L,L,M,L,L,M,,CLOMPS,Y,N,N,N,Y,,AR,7/6/23,X,MC,
FGB_93,PSTR,FGB_initial,FGB,unknown,,HH,H,L,M,L,L,L,L,L,L,L,,,N,N,Y,Y,Y,,AR,7/6/23,X,MC,
FGB_94,OFAV,FGB_initial,FGB,unknown,,HH,M,H,M,L,L,L,H,L,L,L,,CLOMPS,Y,N,Y,Y,Y,,AR,7/6/23,X,MC,
FGB_95,CNAT,FGB_initial,FGB,unknown,,HD,M,M,M,L,L,L,M,M,L,L,,,N,N,N,N,Y,,AR,7/6/23,X,MC,
FGB_96,CNAT,FGB_initial,FGB,unknown,,DD,M,M,M,M,L,L,M,M,L,L,,,Y,N,N,N,Y,,AR,7/6/23,X,MC,
FGB_97,PSTR,FGB_initial,FGB,unknown,,HH,M,M,H,L,L,L,L,M,L,M,,,N,N,N,N,Y,,AR,7/6/23,X,MC,
FGB_98,PSTR,FGB_initial,FGB,unknown,,HH,M,M,L,L,L,L,L,L,L,L,,,N,Y,Y,Y,Y,,AR,7/6/23,X,MC,
FGB_99,PSTR,FGB_initial,FGB,unknown,,HH,L,M,L,L,L,L,M,L,L,L,,,N,N,N,N,Y,,AR,7/6/23,X,MC,
