Individual,species,Sample_Health_State ,colony_health,Colony_number,photo,measurement,value 
WPH_66,PAST,HD,HD,56,1,gastro,1
WPH_66,PAST,HD,HD,56,,prop_exo,0
WPH_66,PAST,HD,HD,56,,degr_symb,1
WPH_66,PAST,HD,HD,56,2,gastro,1
WPH_66,PAST,HD,HD,56,,prop_exo,0
WPH_66,PAST,HD,HD,56,,degr_symb,1
WPH_66,PAST,HD,HD,56,3,gastro,1
WPH_66,PAST,HD,HD,56,,prop_exo,0.3
WPH_66,PAST,HD,HD,56,,degr_symb,1
WPH_66,PAST,HD,HD,56,4,gastro,1
WPH_66,PAST,HD,HD,56,,prop_exo,0.3
WPH_66,PAST,HD,HD,56,,degr_symb,1
WPH_66,PAST,HD,HD,56,5,gastro,1
WPH_66,PAST,HD,HD,56,,prop_exo,0
WPH_66,PAST,HD,HD,56,,degr_symb,1
WPH_66,PAST,HD,HD,56,,symb_vac,0.698419672
WPH_66,PAST,HD,HD,56,,symb_vac,0.860140702
WPH_66,PAST,HD,HD,56,,symb_vac,0.675059099
WPH_66,PAST,HD,HD,56,,symb_vac,0.639705882
WPH_66,PAST,HD,HD,56,,symb_vac,0.642502523
WPH_66,PAST,HD,HD,56,,symb_vac,0.604279246
WPH_66,PAST,HD,HD,56,,symb_vac,0.651254325
WPH_66,PAST,HD,HD,56,,symb_vac,0.704249946
WPH_66,PAST,HD,HD,56,,symb_vac,0.860031082
WPH_66,PAST,HD,HD,56,,symb_vac,0.756878561
WPH_66,PAST,HD,HD,56,,symb_vac,0.815538072
WPH_66,PAST,HD,HD,56,,symb_vac,0.814685255
WPH_66,PAST,HD,HD,56,,symb_vac,0.710716908
WPH_66,PAST,HD,HD,56,,symb_vac,0.671475539
WPH_66,PAST,HD,HD,56,,symb_vac,0.78203286
WPH_66,PAST,HD,HD,56,,min_symb,15.918
WPH_66,PAST,HD,HD,56,,max_vac,78.682
WPH_66,PAST,HD,HD,56,,avg_symb,43.48413333
WPH_66,PAST,HD,HD,56,,avg_vac,59.30293333
WPH_50,PAST,HH,HH,57,1,gastro,1
WPH_50,PAST,HH,HH,57,,prop_exo,0.111111111
WPH_50,PAST,HH,HH,57,,degr_symb,1
WPH_50,PAST,HH,HH,57,2,gastro,1
WPH_50,PAST,HH,HH,57,,prop_exo,0.272727273
WPH_50,PAST,HH,HH,57,,degr_symb,1
WPH_50,PAST,HH,HH,57,3,gastro,1
WPH_50,PAST,HH,HH,57,,prop_exo,0
WPH_50,PAST,HH,HH,57,,degr_symb,1
WPH_50,PAST,HH,HH,57,4,gastro,1
WPH_50,PAST,HH,HH,57,,prop_exo,0
WPH_50,PAST,HH,HH,57,,degr_symb,1
WPH_50,PAST,HH,HH,57,5,gastro,1
WPH_50,PAST,HH,HH,57,,prop_exo,0
WPH_50,PAST,HH,HH,57,,degr_symb,1
WPH_50,PAST,HH,HH,57,,symb_vac,0.672071831
WPH_50,PAST,HH,HH,57,,symb_vac,0.883425913
WPH_50,PAST,HH,HH,57,,symb_vac,0.821267361
WPH_50,PAST,HH,HH,57,,symb_vac,0.824242872
WPH_50,PAST,HH,HH,57,,symb_vac,0.706442818
WPH_50,PAST,HH,HH,57,,symb_vac,0.826134423
WPH_50,PAST,HH,HH,57,,symb_vac,0.711555436
WPH_50,PAST,HH,HH,57,,symb_vac,0.768410973
WPH_50,PAST,HH,HH,57,,symb_vac,0.669047088
WPH_50,PAST,HH,HH,57,,symb_vac,0.684944316
WPH_50,PAST,HH,HH,57,,symb_vac,0.866515902
WPH_50,PAST,HH,HH,57,,symb_vac,0.817929203
WPH_50,PAST,HH,HH,57,,symb_vac,0.767099707
WPH_50,PAST,HH,HH,57,,symb_vac,0.675661883
WPH_50,PAST,HH,HH,57,,symb_vac,0.630608079
WPH_50,PAST,HH,HH,57,,min_symb,33.1
WPH_50,PAST,HH,HH,57,,max_vac,89.608
WPH_50,PAST,HH,HH,57,,avg_symb,51.59753333
WPH_50,PAST,HH,HH,57,,avg_vac,68.03566667
WPH_43,PAST,HH,HH,42,1,gastro,1
WPH_43,PAST,HH,HH,42,,prop_exo,0
WPH_43,PAST,HH,HH,42,,degr_symb,1
WPH_43,PAST,HH,HH,42,2,gastro,1
WPH_43,PAST,HH,HH,42,,prop_exo,0
WPH_43,PAST,HH,HH,42,,degr_symb,1
WPH_43,PAST,HH,HH,42,3,gastro,1
WPH_43,PAST,HH,HH,42,,prop_exo,0.136363636
WPH_43,PAST,HH,HH,42,,degr_symb,1
WPH_43,PAST,HH,HH,42,4,gastro,1
WPH_43,PAST,HH,HH,42,,prop_exo,0.25
WPH_43,PAST,HH,HH,42,,degr_symb,1
WPH_43,PAST,HH,HH,42,5,gastro,1
WPH_43,PAST,HH,HH,42,,prop_exo,0.272727273
WPH_43,PAST,HH,HH,42,,degr_symb,1
WPH_43,PAST,HH,HH,42,,symb_vac,0.809870122
WPH_43,PAST,HH,HH,42,,symb_vac,0.687358089
WPH_43,PAST,HH,HH,42,,symb_vac,0.758423991
WPH_43,PAST,HH,HH,42,,symb_vac,0.675192011
WPH_43,PAST,HH,HH,42,,symb_vac,0.712413668
WPH_43,PAST,HH,HH,42,,symb_vac,0.749163757
WPH_43,PAST,HH,HH,42,,symb_vac,0.663753732
WPH_43,PAST,HH,HH,42,,symb_vac,0.685502283
WPH_43,PAST,HH,HH,42,,symb_vac,0.765098327
WPH_43,PAST,HH,HH,42,,symb_vac,0.666924383
WPH_43,PAST,HH,HH,42,,symb_vac,0.785895519
WPH_43,PAST,HH,HH,42,,symb_vac,0.731751412
WPH_43,PAST,HH,HH,42,,symb_vac,0.695146014
WPH_43,PAST,HH,HH,42,,symb_vac,0.673327329
WPH_43,PAST,HH,HH,42,,symb_vac,0.67316404
WPH_43,PAST,HH,HH,42,,min_symb,31.226
WPH_43,PAST,HH,HH,42,,max_vac,70.952
WPH_43,PAST,HH,HH,42,,avg_symb,42.06186667
WPH_43,PAST,HH,HH,42,,avg_vac,58.76826667
WPH_39,PAST,HD,HD,48,1,gastro,1
WPH_39,PAST,HD,HD,48,,prop_exo,0.230769231
WPH_39,PAST,HD,HD,48,,degr_symb,1
WPH_39,PAST,HD,HD,48,2,gastro,1
WPH_39,PAST,HD,HD,48,,prop_exo,0
WPH_39,PAST,HD,HD,48,,degr_symb,1
WPH_39,PAST,HD,HD,48,3,gastro,1
WPH_39,PAST,HD,HD,48,,prop_exo,0.25
WPH_39,PAST,HD,HD,48,,degr_symb,1
WPH_39,PAST,HD,HD,48,4,gastro,1
WPH_39,PAST,HD,HD,48,,prop_exo,0.2
WPH_39,PAST,HD,HD,48,,degr_symb,1
WPH_39,PAST,HD,HD,48,5,gastro,1
WPH_39,PAST,HD,HD,48,,prop_exo,0
WPH_39,PAST,HD,HD,48,,degr_symb,1
WPH_39,PAST,HD,HD,48,,symb_vac,0.646373704
WPH_39,PAST,HD,HD,48,,symb_vac,0.683843968
WPH_39,PAST,HD,HD,48,,symb_vac,0.740693952
WPH_39,PAST,HD,HD,48,,symb_vac,0.694257552
WPH_39,PAST,HD,HD,48,,symb_vac,0.676451567
WPH_39,PAST,HD,HD,48,,symb_vac,0.794854526
WPH_39,PAST,HD,HD,48,,symb_vac,0.665383544
WPH_39,PAST,HD,HD,48,,symb_vac,0.6207495
