Individual,species,Sample_Health_State ,colony_health,Colony_number,photo,measurement,value ,state
WPH_66,PAST,HD,HD,56,1,gastro,1,1
WPH_66,PAST,HD,HD,56,,prop_exo,0,1
WPH_66,PAST,HD,HD,56,,degr_symb,1,1
WPH_66,PAST,HD,HD,56,2,gastro,1,1
WPH_66,PAST,HD,HD,56,,prop_exo,0,1
WPH_66,PAST,HD,HD,56,,degr_symb,1,1
WPH_66,PAST,HD,HD,56,3,gastro,1,1
WPH_66,PAST,HD,HD,56,,prop_exo,0.3,1
WPH_66,PAST,HD,HD,56,,degr_symb,1,1
WPH_66,PAST,HD,HD,56,4,gastro,1,1
WPH_66,PAST,HD,HD,56,,prop_exo,0.3,1
WPH_66,PAST,HD,HD,56,,degr_symb,1,1
WPH_66,PAST,HD,HD,56,5,gastro,1,1
WPH_66,PAST,HD,HD,56,,prop_exo,0,1
WPH_66,PAST,HD,HD,56,,degr_symb,1,1
WPH_66,PAST,HD,HD,56,,symb_vac,0.698419672,1
WPH_66,PAST,HD,HD,56,,symb_vac,0.860140702,1
WPH_66,PAST,HD,HD,56,,symb_vac,0.675059099,1
WPH_66,PAST,HD,HD,56,,symb_vac,0.639705882,1
WPH_66,PAST,HD,HD,56,,symb_vac,0.642502523,1
WPH_66,PAST,HD,HD,56,,symb_vac,0.604279246,1
WPH_66,PAST,HD,HD,56,,symb_vac,0.651254325,1
WPH_66,PAST,HD,HD,56,,symb_vac,0.704249946,1
WPH_66,PAST,HD,HD,56,,symb_vac,0.860031082,1
WPH_66,PAST,HD,HD,56,,symb_vac,0.756878561,1
WPH_66,PAST,HD,HD,56,,symb_vac,0.815538072,1
WPH_66,PAST,HD,HD,56,,symb_vac,0.814685255,1
WPH_66,PAST,HD,HD,56,,symb_vac,0.710716908,1
WPH_66,PAST,HD,HD,56,,symb_vac,0.671475539,1
WPH_66,PAST,HD,HD,56,,symb_vac,0.78203286,1
WPH_66,PAST,HD,HD,56,,min_symb,15.918,1
WPH_66,PAST,HD,HD,56,,max_vac,78.682,1
WPH_66,PAST,HD,HD,56,,avg_symb,43.48413333,1
WPH_66,PAST,HD,HD,56,,avg_vac,59.30293333,1
WPH_50,PAST,HH,HH,57,1,gastro,1,0
WPH_50,PAST,HH,HH,57,,prop_exo,0.111111111,0
WPH_50,PAST,HH,HH,57,,degr_symb,1,0
WPH_50,PAST,HH,HH,57,2,gastro,1,0
WPH_50,PAST,HH,HH,57,,prop_exo,0.272727273,0
WPH_50,PAST,HH,HH,57,,degr_symb,1,0
WPH_50,PAST,HH,HH,57,3,gastro,1,0
WPH_50,PAST,HH,HH,57,,prop_exo,0,0
WPH_50,PAST,HH,HH,57,,degr_symb,1,0
WPH_50,PAST,HH,HH,57,4,gastro,1,0
WPH_50,PAST,HH,HH,57,,prop_exo,0,0
WPH_50,PAST,HH,HH,57,,degr_symb,1,0
WPH_50,PAST,HH,HH,57,5,gastro,1,0
WPH_50,PAST,HH,HH,57,,prop_exo,0,0
WPH_50,PAST,HH,HH,57,,degr_symb,1,0
WPH_50,PAST,HH,HH,57,,symb_vac,0.672071831,0
WPH_50,PAST,HH,HH,57,,symb_vac,0.883425913,0
WPH_50,PAST,HH,HH,57,,symb_vac,0.821267361,0
WPH_50,PAST,HH,HH,57,,symb_vac,0.824242872,0
WPH_50,PAST,HH,HH,57,,symb_vac,0.706442818,0
WPH_50,PAST,HH,HH,57,,symb_vac,0.826134423,0
WPH_50,PAST,HH,HH,57,,symb_vac,0.711555436,0
WPH_50,PAST,HH,HH,57,,symb_vac,0.768410973,0
WPH_50,PAST,HH,HH,57,,symb_vac,0.669047088,0
WPH_50,PAST,HH,HH,57,,symb_vac,0.684944316,0
WPH_50,PAST,HH,HH,57,,symb_vac,0.866515902,0
WPH_50,PAST,HH,HH,57,,symb_vac,0.817929203,0
WPH_50,PAST,HH,HH,57,,symb_vac,0.767099707,0
WPH_50,PAST,HH,HH,57,,symb_vac,0.675661883,0
WPH_50,PAST,HH,HH,57,,symb_vac,0.630608079,0
WPH_50,PAST,HH,HH,57,,min_symb,33.1,0
WPH_50,PAST,HH,HH,57,,max_vac,89.608,0
WPH_50,PAST,HH,HH,57,,avg_symb,51.59753333,0
WPH_50,PAST,HH,HH,57,,avg_vac,68.03566667,0
WPH_43,PAST,HH,HH,42,1,gastro,1,0
WPH_43,PAST,HH,HH,42,,prop_exo,0,0
WPH_43,PAST,HH,HH,42,,degr_symb,1,0
WPH_43,PAST,HH,HH,42,2,gastro,1,0
WPH_43,PAST,HH,HH,42,,prop_exo,0,0
WPH_43,PAST,HH,HH,42,,degr_symb,1,0
WPH_43,PAST,HH,HH,42,3,gastro,1,0
WPH_43,PAST,HH,HH,42,,prop_exo,0.136363636,0
WPH_43,PAST,HH,HH,42,,degr_symb,1,0
WPH_43,PAST,HH,HH,42,4,gastro,1,0
WPH_43,PAST,HH,HH,42,,prop_exo,0.25,0
WPH_43,PAST,HH,HH,42,,degr_symb,1,0
WPH_43,PAST,HH,HH,42,5,gastro,1,0
WPH_43,PAST,HH,HH,42,,prop_exo,0.272727273,0
WPH_43,PAST,HH,HH,42,,degr_symb,1,0
WPH_43,PAST,HH,HH,42,,symb_vac,0.809870122,0
WPH_43,PAST,HH,HH,42,,symb_vac,0.687358089,0
WPH_43,PAST,HH,HH,42,,symb_vac,0.758423991,0
WPH_43,PAST,HH,HH,42,,symb_vac,0.675192011,0
WPH_43,PAST,HH,HH,42,,symb_vac,0.712413668,0
WPH_43,PAST,HH,HH,42,,symb_vac,0.749163757,0
WPH_43,PAST,HH,HH,42,,symb_vac,0.663753732,0
WPH_43,PAST,HH,HH,42,,symb_vac,0.685502283,0
WPH_43,PAST,HH,HH,42,,symb_vac,0.765098327,0
WPH_43,PAST,HH,HH,42,,symb_vac,0.666924383,0
WPH_43,PAST,HH,HH,42,,symb_vac,0.785895519,0
WPH_43,PAST,HH,HH,42,,symb_vac,0.731751412,0
WPH_43,PAST,HH,HH,42,,symb_vac,0.695146014,0
WPH_43,PAST,HH,HH,42,,symb_vac,0.673327329,0
WPH_43,PAST,HH,HH,42,,symb_vac,0.67316404,0
WPH_43,PAST,HH,HH,42,,min_symb,31.226,0
WPH_43,PAST,HH,HH,42,,max_vac,70.952,0
WPH_43,PAST,HH,HH,42,,avg_symb,42.06186667,0
WPH_43,PAST,HH,HH,42,,avg_vac,58.76826667,0
WPH_39,PAST,HD,HD,48,1,gastro,1,1
WPH_39,PAST,HD,HD,48,,prop_exo,0.230769231,1
WPH_39,PAST,HD,HD,48,,degr_symb,1,1
WPH_39,PAST,HD,HD,48,2,gastro,1,1
WPH_39,PAST,HD,HD,48,,prop_exo,0,1
WPH_39,PAST,HD,HD,48,,degr_symb,1,1
WPH_39,PAST,HD,HD,48,3,gastro,1,1
WPH_39,PAST,HD,HD,48,,prop_exo,0.25,1
WPH_39,PAST,HD,HD,48,,degr_symb,1,1
WPH_39,PAST,HD,HD,48,4,gastro,1,1
WPH_39,PAST,HD,HD,48,,prop_exo,0.2,1
WPH_39,PAST,HD,HD,48,,degr_symb,1,1
WPH_39,PAST,HD,HD,48,5,gastro,1,1
WPH_39,PAST,HD,HD,48,,prop_exo,0,1
WPH_39,PAST,HD,HD,48,,degr_symb,1,1
WPH_39,PAST,HD,HD,48,,symb_vac,0.646373704,1
WPH_39,PAST,HD,HD,48,,symb_vac,0.683843968,1
WPH_39,PAST,HD,HD,48,,symb_vac,0.740693952,1
WPH_39,PAST,HD,HD,48,,symb_vac,0.694257552,1
WPH_39,PAST,HD,HD,48,,symb_vac,0.676451567,1
WPH_39,PAST,HD,HD,48,,symb_vac,0.794854526,1
WPH_39,PAST,HD,HD,48,,symb_vac,0.665383544,1
WPH_39,PAST,HD,HD,48,,symb_vac,0.6207495,1
WPH_39,PAST,HD,HD,48,,symb_vac,0.721186468,1
WPH_39,PAST,HD,HD,48,,symb_vac,0.703997422,1
WPH_39,PAST,HD,HD,48,,symb_vac,0.799668294,1
WPH_39,PAST,HD,HD,48,,symb_vac,0.744756889,1
WPH_39,PAST,HD,HD,48,,symb_vac,0.743673196,1
WPH_39,PAST,HD,HD,48,,symb_vac,0.745399897,1
WPH_39,PAST,HD,HD,48,,symb_vac,0.698778053,1
WPH_39,PAST,HD,HD,48,,min_symb,37.654,1
WPH_39,PAST,HD,HD,48,,max_vac,83.549,1
WPH_39,PAST,HD,HD,48,,avg_symb,45.90786667,1
WPH_39,PAST,HD,HD,48,,avg_vac,64.63033333,1
WPH_74,OFRA,HH,HP,60,1,gastro,1,0
WPH_74,OFRA,HH,HP,60,,prop_exo,0.4,0
WPH_74,OFRA,HH,HP,60,,degr_symb,1,0
WPH_74,OFRA,HH,HP,60,2,gastro,0,0
WPH_74,OFRA,HH,HP,60,,prop_exo,0.277777778,0
WPH_74,OFRA,HH,HP,60,,degr_symb,1,0
WPH_74,OFRA,HH,HP,60,3,gastro,0,0
WPH_74,OFRA,HH,HP,60,,prop_exo,0.625,0
WPH_74,OFRA,HH,HP,60,,degr_symb,1,0
WPH_74,OFRA,HH,HP,60,4,gastro,1,0
WPH_74,OFRA,HH,HP,60,,prop_exo,0.2,0
WPH_74,OFRA,HH,HP,60,,degr_symb,1,0
WPH_74,OFRA,HH,HP,60,5,gastro,1,0
WPH_74,OFRA,HH,HP,60,,prop_exo,0,0
WPH_74,OFRA,HH,HP,60,,degr_symb,1,0
WPH_74,OFRA,HH,HP,60,,symb_vac,0.610214895,0
WPH_74,OFRA,HH,HP,60,,symb_vac,0.788512324,0
WPH_74,OFRA,HH,HP,60,,symb_vac,0.683183908,0
WPH_74,OFRA,HH,HP,60,,symb_vac,0.743065576,0
WPH_74,OFRA,HH,HP,60,,symb_vac,0.698217268,0
WPH_74,OFRA,HH,HP,60,,symb_vac,0.655993518,0
WPH_74,OFRA,HH,HP,60,,symb_vac,0.702690641,0
WPH_74,OFRA,HH,HP,60,,symb_vac,0.785709678,0
WPH_74,OFRA,HH,HP,60,,symb_vac,0.808386484,0
WPH_74,OFRA,HH,HP,60,,symb_vac,0.742681893,0
WPH_74,OFRA,HH,HP,60,,symb_vac,0.670909442,0
WPH_74,OFRA,HH,HP,60,,symb_vac,0.775346164,0
WPH_74,OFRA,HH,HP,60,,symb_vac,0.730349376,0
WPH_74,OFRA,HH,HP,60,,symb_vac,0.609489992,0
WPH_74,OFRA,HH,HP,60,,symb_vac,0.709318276,0
WPH_74,OFRA,HH,HP,60,,min_symb,21.284,0
WPH_74,OFRA,HH,HP,60,,max_vac,78.746,0
WPH_74,OFRA,HH,HP,60,,avg_symb,38.63653333,0
WPH_74,OFRA,HH,HP,60,,avg_vac,54.14346667,0
WPH_03,OFRA,HD,HD,68,1,gastro,1,1
WPH_03,OFRA,HD,HD,68,,prop_exo,0.230769231,1
WPH_03,OFRA,HD,HD,68,,degr_symb,1,1
WPH_03,OFRA,HD,HD,68,2,gastro,0,1
WPH_03,OFRA,HD,HD,68,,prop_exo,0.375,1
WPH_03,OFRA,HD,HD,68,,degr_symb,1,1
WPH_03,OFRA,HD,HD,68,3,gastro,1,1
WPH_03,OFRA,HD,HD,68,,prop_exo,0,1
WPH_03,OFRA,HD,HD,68,,degr_symb,1,1
WPH_03,OFRA,HD,HD,68,4,gastro,1,1
WPH_03,OFRA,HD,HD,68,,prop_exo,0.333333333,1
WPH_03,OFRA,HD,HD,68,,degr_symb,1,1
WPH_03,OFRA,HD,HD,68,5,gastro,1,1
WPH_03,OFRA,HD,HD,68,,prop_exo,0.1,1
WPH_03,OFRA,HD,HD,68,,degr_symb,1,1
WPH_03,OFRA,HD,HD,68,,symb_vac,0.665018821,1
WPH_03,OFRA,HD,HD,68,,symb_vac,0.76950827,1
WPH_03,OFRA,HD,HD,68,,symb_vac,0.658406782,1
WPH_03,OFRA,HD,HD,68,,symb_vac,0.634349084,1
WPH_03,OFRA,HD,HD,68,,symb_vac,0.802194042,1
WPH_03,OFRA,HD,HD,68,,symb_vac,0.64726035,1
WPH_03,OFRA,HD,HD,68,,symb_vac,0.708867175,1
WPH_03,OFRA,HD,HD,68,,symb_vac,0.647079005,1
WPH_03,OFRA,HD,HD,68,,symb_vac,0.707957317,1
WPH_03,OFRA,HD,HD,68,,symb_vac,0.80322048,1
WPH_03,OFRA,HD,HD,68,,symb_vac,0.694657722,1
WPH_03,OFRA,HD,HD,68,,symb_vac,0.843513229,1
WPH_03,OFRA,HD,HD,68,,symb_vac,0.696956938,1
WPH_03,OFRA,HD,HD,68,,symb_vac,0.700338783,1
WPH_03,OFRA,HD,HD,68,,symb_vac,0.784001685,1
WPH_03,OFRA,HD,HD,68,,min_symb,37.119,1
WPH_03,OFRA,HD,HD,68,,max_vac,98.656,1
WPH_03,OFRA,HD,HD,68,,avg_symb,42.25273333,1
WPH_03,OFRA,HD,HD,68,,avg_vac,59.33813333,1
WPH_21,OFRA,DD,DD,49,1,gastro,0,1
WPH_21,OFRA,DD,DD,49,,prop_exo,0.2,1
WPH_21,OFRA,DD,DD,49,,degr_symb,1,1
WPH_21,OFRA,DD,DD,49,2,gastro,0,1
WPH_21,OFRA,DD,DD,49,,prop_exo,0,1
WPH_21,OFRA,DD,DD,49,,degr_symb,1,1
WPH_21,OFRA,DD,DD,49,3,gastro,1,1
WPH_21,OFRA,DD,DD,49,,prop_exo,0,1
WPH_21,OFRA,DD,DD,49,,degr_symb,1,1
WPH_21,OFRA,DD,DD,49,4,gastro,1,1
WPH_21,OFRA,DD,DD,49,,prop_exo,0,1
WPH_21,OFRA,DD,DD,49,,degr_symb,1,1
WPH_21,OFRA,DD,DD,49,5,gastro,1,1
WPH_21,OFRA,DD,DD,49,,prop_exo,0,1
WPH_21,OFRA,DD,DD,49,,degr_symb,1,1
WPH_21,OFRA,DD,DD,49,,symb_vac,0.775685907,1
WPH_21,OFRA,DD,DD,49,,symb_vac,0.616519693,1
WPH_21,OFRA,DD,DD,49,,symb_vac,0.71784007,1
WPH_21,OFRA,DD,DD,49,,symb_vac,0.85205732,1
WPH_21,OFRA,DD,DD,49,,symb_vac,0.719598129,1
WPH_21,OFRA,DD,DD,49,,symb_vac,0.653676406,1
WPH_21,OFRA,DD,DD,49,,symb_vac,0.606287985,1
WPH_21,OFRA,DD,DD,49,,symb_vac,0.72133725,1
WPH_21,OFRA,DD,DD,49,,symb_vac,0.759624727,1
WPH_21,OFRA,DD,DD,49,,symb_vac,0.707341422,1
WPH_21,OFRA,DD,DD,49,,symb_vac,0.588270167,1
WPH_21,OFRA,DD,DD,49,,symb_vac,0.765019935,1
WPH_21,OFRA,DD,DD,49,,symb_vac,0.74484446,1
WPH_21,OFRA,DD,DD,49,,symb_vac,0.62292036,1
