ID,TRUE_sample_health,worded_health,species,photo,measurement,value
Histo_1,WHD,HD,OFRA,1,gastro,1
Histo_1,WHD,HD,OFRA,,prop_exo,0.230769231
Histo_1,WHD,HD,OFRA,,degr_symb,1
Histo_1,WHD,HD,OFRA,2,gastro,1
Histo_1,WHD,HD,OFRA,,prop_exo,0.210526316
Histo_1,WHD,HD,OFRA,,degr_symb,1
Histo_1,WHD,HD,OFRA,3,gastro,1
Histo_1,WHD,HD,OFRA,,prop_exo,0.04
Histo_1,WHD,HD,OFRA,,degr_symb,1
Histo_1,WHD,HD,OFRA,4,gastro,1
Histo_1,WHD,HD,OFRA,,prop_exo,0.166666667
Histo_1,WHD,HD,OFRA,,degr_symb,1
Histo_1,WHD,HD,OFRA,5,gastro,0
Histo_1,WHD,HD,OFRA,,prop_exo,0.117647059
Histo_1,WHD,HD,OFRA,,degr_symb,1
Histo_1,WHD,HD,OFRA,,symb_vac,0.583155228
Histo_1,WHD,HD,OFRA,,symb_vac,0.55026685
Histo_1,WHD,HD,OFRA,,symb_vac,0.586858842
Histo_1,WHD,HD,OFRA,,symb_vac,0.666074647
Histo_1,WHD,HD,OFRA,,symb_vac,0.736574784
Histo_1,WHD,HD,OFRA,,symb_vac,0.523765179
Histo_1,WHD,HD,OFRA,,symb_vac,0.55699187
Histo_1,WHD,HD,OFRA,,symb_vac,0.664378471
Histo_1,WHD,HD,OFRA,,symb_vac,0.595745011
Histo_1,WHD,HD,OFRA,,symb_vac,0.506759703
Histo_1,WHD,HD,OFRA,,symb_vac,0.572613714
Histo_1,WHD,HD,OFRA,,symb_vac,0.559931945
Histo_1,WHD,HD,OFRA,,symb_vac,0.618206589
Histo_1,WHD,HD,OFRA,,symb_vac,0.651462525
Histo_1,WHD,HD,OFRA,,symb_vac,0.663337045
Histo_1,WHD,HD,OFRA,,min_symb,27.036
Histo_1,WHD,HD,OFRA,,max_vac,86.1
Histo_1,WHD,HD,OFRA,,avg_symb,38.873
Histo_1,WHD,HD,OFRA,,avg_vac,64.614
Histo_2,WHD,HD,OFRA,1,gastro,1
Histo_2,WHD,HD,OFRA,,prop_exo,=2/24'
Histo_2,WHD,HD,OFRA,,degr_symb,1
Histo_2,WHD,HD,OFRA,2,gastro,0
Histo_2,WHD,HD,OFRA,,prop_exo,0.090909091
Histo_2,WHD,HD,OFRA,,degr_symb,1
Histo_2,WHD,HD,OFRA,3,gastro,0
Histo_2,WHD,HD,OFRA,,prop_exo,0.181818182
